Name	On3 Rating	247 Rating	ESPN Rating	Rivals Rating	Position	City	State	Commit Status	Commit Team
Dylan Raiola	[98]	[98]	[91]	[6.1]	QB	Buford	GA	True	Georgia Bulldogs	
Jeremiah Smith	[98]	[98]	[90]	[6.1]	WR	Hollywood	FL	True	Ohio State Buckeyes	
Williams Nwaneri	[98]	[98]	[90]	[6.1]	DL	Lee's Summit	MO	False	False	
Micah Hudson	[98]	[98]	[90]	[6.1]	WR	Temple	TX	False	False	
Colin Simmons	[98]	[98]	[90]	[6.1]	EDGE	Duncanville	TX	False	False	
KJ Bolden	[98]	[98]	[90]	[6.1]	S	Buford	GA	False	False	
Dylan Stewart	[98]	[98]	[90]	[6.1]	EDGE	Washington	DC	False	False	
Ellis Robinson IV	[98]	[98]	[91]	[6.0]	CB	New Haven	CT	True	Georgia Bulldogs	
Justin Scott	[98]	[98]	[86]	[6.1]	DL	Chicago	IL	True	Ohio State Buckeyes	
Cam Coleman	[98]	[98]	[90]	[6.0]	WR	Phenix City	AL	True	Texas Am Aggies	
Julian Sayin	[96]	[98]	[91]	[6.1]	QB	Carlsbad	CA	True	Alabama Crimson Tide	
David Stone	[96]	[98]	[91]	[6.1]	DL	Oklahoma City	OK	False	False	
Mike Matthews	[96]	[98]	[91]	[6.1]	WR	Lilburn	GA	False	False	
Justin Williams	[96]	[98]	[90]	[6.1]	LB	Conroe	TX	False	False	
Jaylen Mbakwe	[97]	[98]	[91]	[6.0]	ATH	Pinson	AL	True	Alabama Crimson Tide	
Terry Bussey	[97]	[98]	[87]	[6.0]	ATH	Timpson	TX	False	False	
Mylan Graham	[97]	[98]	[86]	[6.0]	WR	New Haven	IN	True	Ohio State Buckeyes	
Bryant Wesco	[96]	[98]	[88]	[6.0]	WR	Midlothian	TX	True	Clemson Tigers	
Sammy Brown	[95]	[98]	[90]	[6.0]	LB	Jefferson	GA	True	Clemson Tigers	
Eddrick Houston	[95]	[98]	[86]	[6.1]	DL	Buford	GA	False	False	
Brandon Baker	[96]	[98]	[86]	[6.0]	OT	Santa Ana	CA	False	False	
Kobe Black	[95]	[98]	[89]	[6.0]	CB	Waco	TX	False	False	
Charles Lester III	[97]	[96]	[86]	[6.0]	CB	Venice	FL	False	False	
Dominick McKinley	[97]	[98]	[87]	[5.9]	DL	Lafayette	LA	False	False	
Landen Thomas	[95]	[98]	[86]	[6.0]	TE	Moultrie	GA	True	Florida State Seminoles	
Xavier Filsaime	[95]	[98]	[86]	[6.0]	S	McKinney	TX	True	Florida Gators	
Jordan Ross	[96]	[98]	[88]	[5.9]	EDGE	Birmingham	AL	False	False	
Ryan Wingo	[93]	[98]	[87]	[6.1]	WR	Saint Louis	MO	False	False	
DJ Lagway	[96]	[95]	[90]	[6.0]	QB	Willis	TX	True	Florida Gators	
Elijah Rushing	[95]	[98]	[89]	[5.9]	EDGE	Tucson	AZ	False	False	
Joshisa Trader	[94]	[95]	[90]	[6.1]	WR	Miami	FL	False	False	
Perry Thompson	[95]	[98]	[86]	[5.9]	WR	Foley	AL	True	Alabama Crimson Tide	
Aydin Breland	[94]	[98]	[86]	[5.9]	DL	Santa Ana	CA	False	False	
Demarcus Riddick	[95]	[95]	[86]	[6.0]	LB	Clanton	AL	True	Georgia Bulldogs	
Taylor Tatum	[95]	[95]	[86]	[6.0]	RB	Longview	TX	False	False	
Cam Williams	[96]	[94]	[86]	[6.0]	WR	Glen Ellyn	IL	True	Notre Dame Fighting Irish	
Kamarion Franklin	[91]	[98]	[87]	[6.1]	DL	Lake Cormorant	MS	False	False	
Aaron Scott Jr.	[97]	[96]	[86]	[5.8]	CB	Springfield	OH	False	False	
Gatlin Bair	[93]	[96]	[84]	[6.0]	WR	Burley	ID	False	False	
Air Noland	[95]	[95]	[87]	[5.9]	QB	Fairburn	GA	True	Ohio State Buckeyes	
Jaden Reddell	[96]	[94]	[86]	[5.9]	TE	Raymore	MO	True	Georgia Bulldogs	
Quinton Martin	[93]	[95]	[86]	[6.0]	ATH	Belle Vernon	PA	True	Penn State Nittany Lions	
Jordan Seaton	[94]	[93]	[84]	[6.0]	OT	Washington	DC	False	False	
Joseph Jonah-Ajonye	[95]	[93]	[88]	[5.9]	DL	Conroe	TX	False	False	
CJ Carr	[91]	[96]	[86]	[6.0]	QB	Saline	MI	True	Notre Dame Fighting Irish	
Selman Bridges	[94]	[95]	[85]	[5.9]	CB	Temple	TX	False	False	
Jerrick Gibson	[95]	[93]	[87]	[5.9]	RB	Gainesville	FL	True	Texas Longhorns	
Bryce West	[94]	[92]	[87]	[6.0]	CB	Cleveland	OH	True	Ohio State Buckeyes	
Josiah Thompson	[96]	[94]	[85]	[5.8]	OT	Dillon	SC	True	South Carolina Gamecocks	
Kam Davis	[94]	[92]	[86]	[6.0]	RB	Albany	GA	True	Florida State Seminoles	
Guerby Lambert	[96]	[92]	[85]	[5.9]	OT	West Roxbury	MA	False	False	
Myles Graham	[91]	[94]	[85]	[6.1]	LB	Atlanta	GA	True	Florida Gators	
Kam Pringle	[95]	[91]	[86]	[6.0]	OT	Dorchester	SC	True	South Carolina Gamecocks	
Adarius Hayes	[93]	[93]	[84]	[6.0]	LB	Largo	FL	True	Florida Gators	
Nathaniel Frazier	[96]	[92]	[84]	[5.9]	RB	Santa Ana	CA	False	False	
Jadyn Davis	[92]	[93]	[83]	[6.1]	QB	Charlotte	NC	True	Michigan Wolverines	
TJ Capers	[93]	[94]	[86]	[5.9]	LB	Miami	FL	True	Louisville Cardinals	
LJ McCray	[94]	[96]	['-']	[5.8]	DL	Daytona Beach	FL	False	False	
Carter Nelson	[93]	[95]	[81]	[5.9]	TE	Ainsworth	NE	True	Nebraska Cornhuskers	
Luke Kromenhoek	[95]	[96]	[82]	[5.7]	QB	Savannah	GA	True	Florida State Seminoles	
Zion Kearney	[94]	[93]	[84]	[5.9]	WR	Missouri City	TX	True	Oklahoma Sooners	
Zabien Brown	[92]	[95]	[83]	[5.9]	CB	Santa Ana	CA	False	False	
Jamonta Waller	[89]	[98]	[90]	[5.9]	LB	Picayune	MS	True	Florida Gators	
Benedict Umeh	[96]	[91]	[84]	[5.9]	DL	Toronto	ON	False	False	
Ny Carr	[92]	[92]	[86]	[6.0]	WR	Moultrie	GA	True	Georgia Bulldogs	
