2023-7-10 2023-7-11 2023-7-12 2023-7-13 2023-7-14 2023-7-15 2023-7-16 2023-7-18
A'Mon Lane	['88', '88', '88', '88', '88', '88', '88', '88']	['90', '90', '90', '90', '90', '90', '90', '90']	['81', '81', '81', '81', '81', '81', '81', '81']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	CB	Alabaster	AL	True	Auburn Tigers	
A.J. Pugliano	['88', '88', '88', '88', '88', '88', '88', '88']	['90', '90', '90', '90', '90', '90', '90', '89']	['79', '79', '79', '79', '79', '79', '79', '79']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	TE	Medford	OR	True	Oregon Ducks	
AJ Surace	['89', '89', '89', '89', '89', '89', '89', '89']	['88', '88', '88', '88', '88', '88', '88', '88']	['77', '77', '77', '77', '77', '77', '77', '77']	['5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6']	QB	Trenton	NJ	True	Rutgers Scarlet Knights	
Aaris Bethea	['87', '87', '87', '87', '87', '87', '87', '87']	['87', '87', '87', '87', '87', '87', '87', '87']	['77', '77', '77', '77', '77', '77', '77', '77']	['5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6']	DL	Brooklyn	NY	True	Rutgers Scarlet Knights	
Aaron Butler	['91', '91', '91', '91', '91', '91', '91', '91']	['93', '93', '93', '93', '93', '93', '93', '93']	['84', '84', '84', '84', '84', '84', '84', '84']	['5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9']	ATH	Calabasas	CA	True	Colorado Buffaloes	
Aaron Chiles	['91', '91', '91', '91', '91', '91', '91', '91']	['92', '92', '92', '92', '92', '92', '92', '92']	['85', '85', '85', '85', '85', '85', '85', '85']	['5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9']	LB	Olney	MD	True	Florida Gators	
Aaron Flowers	['93', '93', '93', '93', '93', '93', '93', '93']	['92', '92', '92', '92', '92', '92', '92', '92']	['83', '83', '83', '83', '83', '83', '83', '83']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	S	Forney	TX	True	Oregon Ducks	
Aaron Philo	['87', '87', '87', '87', '87', '87', '87', '87']	['87', '87', '87', '87', '87', '87', '87', '87']	['76', '76', '76', '76', '76', '76', '76', '76']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	QB	Bogart	GA	True	Georgia Tech Yellow Jackets	
Aaron Scott Jr.	['96', '96', '96', '96', '96', '96', '96', '96']	['96', '96', '96', '96', '96', '96', '96', '96']	['86', '86', '86', '86', '86', '86', '86', '86']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	CB	Springfield	OH	False	False	
Aaron Travis	['87', '87', '87', '87', '87', '87', '87', '87']	['85', '85', '85', '85', '85', '85', '85', '85']	['-', '-', '-', '-', '-', '-', '-', '-']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	DL	Grenada	MS	True	Southern Miss Golden Eagles	
